Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),ValueCo2EmissionsKtByCountry,GdpGrowth,GdpPerCapita,Density_per_n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2011,43.22202,21.8,12.61,0.18,0,0.6,76.92309,1436.1143,3.23,8930.000305,0.426354785,591.1900302,60,652230,33.93911,67.709953
Afghanistan,2012,69.1,23,15.36,0.14,0,0.74,84.09091,1324.1211,2.61,8079.999924,12.75228709,638.8458516,60,652230,33.93911,67.709953
Afghanistan,2013,68.29065,24.8,16.86,0.22,0,0.89,80.180176,1060.7926,2.46,5989.999771,5.600744658,624.3154545,60,652230,33.93911,67.709953
Afghanistan,2014,89.5,26.1,18.93,0.16,0,1,86.2069,868.5762,2.25,4880.000114,2.724543364,614.2233424,60,652230,33.93911,67.709953
Afghanistan,2015,71.5,27.4,17.53,0.15,0,1.03,87.28814,970.0803,2.37,5949.999809,1.45131466,556.0072209,60,652230,33.93911,67.709953
Afghanistan,2016,97.7,28.6,19.92,0.15,0,1.06,87.603294,862.79114,2.24,5300.000191,2.260314201,512.0127781,60,652230,33.93911,67.709953
Afghanistan,2017,97.7,29.7,19.21,0.18,0,1.09,85.826775,829.31195,2.3,4780.00021,2.647003202,516.6798622,60,652230,33.93911,67.709953
Afghanistan,2018,96.616135,30.9,17.96,0.2,0,0.97,82.90598,924.25085,2.44,6070.000172,1.189228128,485.6684187,60,652230,33.93911,67.709953
Afghanistan,2019,97.7,31.9,18.51,0.18,0,0.89,83.17757,802.61255,2.41,6079.999924,3.911603419,494.1793499,60,652230,33.93911,67.709953
Afghanistan,2020,97.7,33.2,32.63816498,0.12,0,0.68,85,702.888,5.307345059,159866.4627,-2.351100673,516.7478708,60,652230,33.93911,67.709953
Albania,2000,100,38.2,32.63816498,0.14,0,4.55,97.01493,9029.4375,4.13,3170,6.946216585,1126.68334,105,28748,41.153332,20.168331
Albania,2001,100,40.5,32.63816498,0.13,0,3.52,96.438354,8635.532,3.89,3230,8.293312636,1281.659826,105,28748,41.153332,20.168331
Albania,2002,100,43.2,32.63816498,0.16,0,3.48,95.60439,9443.555,4.1,3759.99999,4.536524157,1425.124219,105,28748,41.153332,20.168331
Albania,2003,100,46.4,32.63816498,0.1,0,5.12,98.0843,10756.612,3.8,4070.000172,5.528637464,1846.120121,105,28748,41.153332,20.168331
Albania,2004,100,49,32.63816498,0.13,0,5.41,97.65343,11586.951,3.96,4250,5.51466791,2373.581292,105,28748,41.153332,20.168331
Albania,2005,100,51.9,32.63816498,0.07,0,5.32,98.7013,11545.616,3.75,4030.00021,5.526424241,2673.786584,105,28748,41.153332,20.168331
Albania,2006,100,54.8,32.63816498,0.09,0,4.95,98.21428,10976.728,3.46,4010.000229,5.902659038,2972.742924,105,28748,41.153332,20.168331
Albania,2007,100,58.1,32.63816498,0.07,0,2.76,97.526505,9534.874,3.12,4139.999866,5.983259523,3595.038057,105,28748,41.153332,20.168331
Albania,2008,100,60.8,32.63816498,0.07,0,3.76,98.172325,10499.328,3.01,4079.999924,7.500041428,4370.539925,105,28748,41.153332,20.168331
Albania,2009,100,63.6,32.63816498,0,0,5.2,100,11524.428,2.98,4219.99979,3.354289352,4114.134899,105,28748,41.153332,20.168331
Albania,2010,100,66.5,32.63816498,0,0,7.49,100,12377.504,2.85,4449.999809,3.70693815,4094.348386,105,28748,41.153332,20.168331
Albania,2011,100,68.9,32.63816498,0.06,0,4.09,98.554214,10854.649,2.91,4849.999905,2.545406145,4437.142612,105,28748,41.153332,20.168331
Albania,2012,99.9,71.3,32.63816498,0,0,4.68,100,10652.809,2.57,4360.000134,1.4172428,4247.630047,105,28748,41.153332,20.168331
Albania,2013,100,73.15,32.63816498,0,0,6.89,100,13392.774,2.96,4440.000057,1.00201754,4413.062005,105,28748,41.153332,20.168331
Albania,2014,99.95,74.6,32.63816498,0,0,4.68,100,11809.461,2.93,4820.000172,1.774448855,4578.633208,105,28748,41.153332,20.168331
Albania,2015,99.98,76.2,32.63816498,0,0,5.84,100,11824.314,2.69,4619.999886,2.218726372,3952.802538,105,28748,41.153332,20.168331
Albania,2016,99.89,77.8,32.63816498,0,0,7.7,100,13823.748,2.68,4480.000019,3.314980684,4124.05539,105,28748,41.153332,20.168331
Albania,2017,99.89,78.7,32.63816498,0,0,4.48,100,12802.36,2.69,5139.999866,3.8022274,4531.019374,105,28748,41.153332,20.168331
Albania,2018,100,79.8,32.63816498,0,0,8.47,100,14609.701,2.57,5110.000134,4.019359686,5287.663694,105,28748,41.153332,20.168331
Albania,2019,100,80.7,32.63816498,0,0,5.17,100,11585.555,2.5,4829.999924,2.113419982,5395.659532,105,28748,41.153332,20.168331
Albania,2020,100,81.3,32.63816498,0,0,5.31,100,11158.003,5.307345059,159866.4627,-3.955397927,5246.292306,105,28748,41.153332,20.168331
Algeria,2000,98.9731,97.1,0.43,23.84,0,0.05,0.20929259,9746.524,4.18,80050,3.8,1765.027146,18,2381741,28.033886,1.659626
Algeria,2001,98.96687,97.3,0.43,24.96,0,0.07,0.2796644,9961.64,4.07,78650,3,1740.606654,18,2381741,28.033886,1.659626
Algeria,2002,98.95306,97.8,0.51,25.94,0,0.06,0.23076923,10180.35,4.12,82400.00153,5.6,1781.828908,18,2381741,28.033886,1.659626
Algeria,2003,98.93401,98,0.47,27.54,0,0.26,0.93525183,10510.461,4.08,88190.00244,7.2,2103.381291,18,2381741,28.033886,1.659626
Algeria,2004,98.91208,98.2,0.44,29.14,0,0.25,0.8506295,10759.022,3.96,89489.99786,4.3,2610.185422,18,2381741,28.033886,1.659626
Algeria,2005,98.88961,98.5,0.58,31.36,0,0.55,1.7235976,11113.723,3.9,94190.00244,5.9,3113.094883,18,2381741,28.033886,1.659626
Algeria,2006,98.86901,98.7,0.41,32.9,0,0.22,0.6642512,11341.98,4.1,99809.99756,1.7,3478.710002,18,2381741,28.033886,1.659626
Algeria,2007,98.852936,98.8,0.41,34.75,0,0.22,0.62911063,11759.701,4.21,102750,3.4,3950.512993,18,2381741,28.033886,1.659626
Algeria,2008,99.3,99,0.3,37.55,0,0.28,0.74015325,12252.297,4.16,107750,2.4,4923.631615,18,2381741,28.033886,1.659626
Algeria,2009,98.845184,99.1,0.31,35.91,0,0.3,0.8285005,12753.12,4.48,112169.9982,1.6,3883.2709,18,2381741,28.033886,1.659626
Algeria,2010,98.85893,99.2,0.26,42.82,0,0.17,0.3954408,12243.156,4.42,114180.0003,3.6,4480.786318,18,2381741,28.033886,1.659626
Algeria,2011,98.88803,99.3,0.18,47.67,0,0.5,1.0379905,12710.541,4.47,120790.0009,2.9,5455.679403,18,2381741,28.033886,1.659626
Algeria,2012,98.76466,99.4,0.18,53.36,0,0.62,1.1485735,13624.909,4.72,134929.9927,3.4,5592.220115,18,2381741,28.033886,1.659626
Algeria,2013,99.002205,99.4,0.13,55.99,0,0.33,0.5859375,14130.735,4.76,139020.0043,2.8,5499.587331,18,2381741,28.033886,1.659626
Algeria,2014,99.08701,99.5,0.07,60.15,0,0.25,0.41390726,15108.635,5,147740.0055,3.8,5493.056695,18,2381741,28.033886,1.659626
Algeria,2015,99.18666,99.5,0.06,64.46,0,0.22,0.34013605,15616.311,5.05,156270.0043,3.7,4177.889542,18,2381741,28.033886,1.659626
Algeria,2016,99.35025,99.6,0.08,66.43,0,0.34,0.50921077,15295.143,4.85,154910.0037,3.2,3946.452447,18,2381741,28.033886,1.659626
Algeria,2017,99.63549,99.6,0.14,70.86,0,0.64,0.8951049,15164,4.93,158339.9963,1.3,4109.698217,18,2381741,28.033886,1.659626
Algeria,2018,99.69784,99.6,0.19,71.32,0,0.78,1.0818309,15971.084,5.19,165539.9933,1.1,4142.018558,18,2381741,28.033886,1.659626
Algeria,2019,99.5,99.7,0.16,75.85,0,0.84,1.0953188,16259.053,5.32,171250,1,3989.668276,18,2381741,28.033886,1.659626
Algeria,2020,99.80413,99.7,32.63816498,72.01,0,0.72,0.9899628,14933.807,5.307345059,159866.4627,-5.1,3306.858208,18,2381741,28.033886,1.659626
Angola,2000,24.212744,41.1,73.44,0.5,0,0.9,64.28571,1979.2562,3.68,16200,3.054624234,556.8386317,26,1246700,-11.202692,17.873887
Angola,2001,20,41.7,72.34,0.58,0,1.01,63.52201,2079.732,3.65,15960,4.205998556,527.3335285,26,1246700,-11.202692,17.873887
Angola,2002,26.352118,41.7,70.42,0.58,0,1.13,66.08187,2143.528,3.34,15689.99958,13.66568652,872.4944418,26,1246700,-11.202692,17.873887
Angola,2003,27.412777,42,65.14,0.71,0,1.23,63.40206,2298.9023,3.49,16760.00023,2.98985001,982.9610078,26,1246700,-11.202692,17.873887
Angola,2004,28.47055,41.9,61.92,0.45,0,1.73,79.357796,2454.67,3.17,17450.00076,10.95286177,1255.564513,26,1246700,-11.202692,17.873887
Angola,2005,29.527786,42.6,68.38,0.53,0,2.2,80.58608,2016.8517,2.6,15810.00042,15.02891532,1902.42215,26,1246700,-11.202692,17.873887
Angola,2006,30.586895,42.9,62.13,0.6,0,2.64,81.48148,2453.2468,2.62,16559.99947,11.54768318,2599.565948,26,1246700,-11.202692,17.873887
Angola,2007,37.5,43.5,58.49,0.68,0,2.47,78.4127,2719.0603,2.5,16969.99931,14.01001824,3121.996085,26,1246700,-11.202692,17.873887
Angola,2008,38.49,43.6,54.88,0.96,0,3.1,76.35468,3072.024,2.48,19280.00069,11.16613833,4080.941034,26,1246700,-11.202692,17.873887
Angola,2009,33.80219,43.8,52.41,1.54,0,3.06,66.52174,3368.8357,2.71,21149.99962,0.858712615,3122.781599,26,1246700,-11.202692,17.873887
Angola,2010,34.895638,44.3,52.51,1.64,0,3.68,69.17293,3560.0942,2.61,22799.99924,4.403932543,3587.883645,26,1246700,-11.202692,17.873887
Angola,2011,34.6,44.8,51.06,1.55,0,3.98,71.97106,3594.49,2.62,23870.00084,3.471976345,4615.468219,26,1246700,-11.202692,17.873887
Angola,2012,37.13132,45.2,49.47,2.29,0,3.74,62.023216,3615.5242,2.71,23870.00084,8.542187643,5100.097027,26,1246700,-11.202692,17.873887
Angola,2013,38.27803,45.8,47.95,3.24,0,4.73,59.347553,3897.9126,2.6,26959.99908,4.954544646,5254.881126,26,1246700,-11.202692,17.873887
Angola,2014,32,46.5,48.23,3.98,0,5.24,56.83297,4135.0474,3.28,29629.99916,4.822627568,5408.4117,26,1246700,-11.202692,17.873887
Angola,2015,42,47.2,47.84,4.03,0,5.28,56.713207,4159.5776,2.86,31649.99962,0.943571561,4166.979833,26,1246700,-11.202692,17.873887
Angola,2016,41.81313,47.8,49.03,4.2,0,6.01,58.863857,3661.5513,2.61,29760.00023,-2.580049644,3506.073128,26,1246700,-11.202692,17.873887
Angola,2017,43.01326,48.4,56.25,2.99,0,7.69,72.003746,3370.8962,2.51,24250,-0.147212941,4095.810057,26,1246700,-11.202692,17.873887
Angola,2018,45.29,49.1,57.36,2.93,0,9.9,77.162895,3366.3933,2.95,23959.99908,-2.003629727,3289.643995,26,1246700,-11.202692,17.873887
Angola,2019,45.6428,49.5,54.69,4.38,0,11.02,71.55844,3667.4238,2.94,25209.99908,-0.624644318,2809.626088,26,1246700,-11.202692,17.873887
Angola,2020,46.89061,50.2,32.63816498,4.49,0,12.1,72.9355,3527.16,5.307345059,159866.4627,-5.39998739,1776.166868,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2000,97.68926,100,0,0.14,0,0,0,28457.223,3.13,330,6.203431254,10872.29295,223,443,17.060816,-61.796428
Antigua and Barbuda,2001,97.785255,100,0,0.16,0,0,0,28025.29,3.31,350,-4.548003473,10367.31961,223,443,17.060816,-61.796428
Antigua and Barbuda,2002,100,100,0,0.18,0,0,0,29660.344,3.59,389.9999857,1.02744197,10401.05088,223,443,17.060816,-61.796428
Antigua and Barbuda,2003,97.956825,100,0,0.2,0,0,0,30824.252,3.63,409.9999964,6.076543688,10797.95106,223,443,17.060816,-61.796428
Antigua and Barbuda,2004,98.0371,100,0,0.21,0,0,0,31622.059,3.57,400.000006,5.767028612,11446.96914,223,443,17.060816,-61.796428
Antigua and Barbuda,2005,92.2,100,0,0.23,0,0,0,31734.295,3.4,409.9999964,6.473831316,12557.54785,223,443,17.060816,-61.796428
Antigua and Barbuda,2006,100,100,0,0.24,0,0,0,32290.607,3.12,439.9999976,12.70814853,13995.80442,223,443,17.060816,-61.796428
Antigua and Barbuda,2007,100,100,0,0.26,0,0,0,33375.836,3.02,460.0000083,9.315383163,15622.69287,223,443,17.060816,-61.796428
Antigua and Barbuda,2008,100,100,0,0.27,0,0,0,33637.074,3.08,479.9999893,-0.014340652,16044.1058,223,443,17.060816,-61.796428
Antigua and Barbuda,2009,98.48128,100,0,0.31,0,0,0,34709.18,3.7,1389.999986,-11.96269725,14160.562,223,443,17.060816,-61.796428
Antigua and Barbuda,2010,98.59724,100,0,0.32,0,0,0,33104.54,4.05,490.0000095,-7.840594744,13048.96058,223,443,17.060816,-61.796428
Antigua and Barbuda,2011,94.55202,100,0.08,0.32,0,0,0,32616.084,4.08,540.0000215,-1.958612628,12746.63347,223,443,17.060816,-61.796428
Antigua and Barbuda,2012,100,100,0.15,0.31,0,0,0,33159.37,4.08,699.9999881,3.3728662,13272.73494,223,443,17.060816,-61.796428
Antigua and Barbuda,2013,100,100,0.15,0.31,0,0,0,32853.875,4.13,469.9999988,-0.600876397,12910.59063,223,443,17.060816,-61.796428
Antigua and Barbuda,2014,100,100,0.14,0.32,0,0,0,33313,4.01,479.9999893,3.795727613,13501.58092,223,443,17.060816,-61.796428
Antigua and Barbuda,2015,100,100,0.48,0.32,0,0.01,3.030303,33830.76,3.98,490.0000095,3.825293099,14285.32978,223,443,17.060816,-61.796428
Antigua and Barbuda,2016,100,100,0.6,0.32,0,0,0,34089.41,3.85,500,5.496459204,15198.74297,223,443,17.060816,-61.796428
Antigua and Barbuda,2017,100,100,0.6,0.32,0,0.01,3.030303,32233.041,3.73,500,3.14432324,15383.5764,223,443,17.060816,-61.796428
Antigua and Barbuda,2018,100,100,0.9,0.32,0,0.01,3.030303,33026.227,3.57,509.9999905,6.883640817,16679.59166,223,443,17.060816,-61.796428
Antigua and Barbuda,2019,100,100,0.91,0.33,0,0.01,2.9411764,33027.516,3.45,519.9999809,4.862236166,17376.64968,223,443,17.060816,-61.796428
Antigua and Barbuda,2020,100,100,32.63816498,0.31,0,0.02,6.060606,27785.227,5.307345059,159866.4627,-20.19237057,13992.74448,223,443,17.060816,-61.796428
Argentina,2000,95.78329,95,9.85,50.37,5.99,28.89,40.914955,18849.81,3.69,132270,-0.788998939,7708.099115,17,2780400,-38.416097,-63.616672
Argentina,2001,95.51106,95.6,11.51,42.91,6.54,37.04,50.38733,18210.12,3.59,125260,-4.408839683,7208.373114,17,2780400,-38.416097,-63.616672
Argentina,2002,96.22887,96.1,11.62,39.7,5.39,36.06,51.07825,17275.256,3.99,117470.0012,-10.89448483,2593.404563,17,2780400,-38.416097,-63.616672
Argentina,2003,96.442635,96.45,10.82,46.73,7.03,34.38,46.982075,18326.521,3.97,127660.0037,8.837040796,3349.8063,17,2780400,-38.416097,-63.616672
Argentina,2004,96.6535,97.2,9.29,57.35,7.31,31.03,40.066883,19261.457,4.04,141380.0049,9.029573301,4277.721573,17,2780400,-38.416097,-63.616672
Argentina,2005,96.863846,97.5,9.64,59.89,6.37,34.6,40.620663,20232.844,3.68,145990.0055,8.85165992,5109.852245,17,2780400,-38.416097,-63.616672
Argentina,2006,97.07606,98.1,9.18,65.58,7.15,38.67,41.131058,21038.723,3.58,154899.9939,8.0471515,5919.012338,17,2780400,-38.416097,-63.616672
Argentina,2007,97.29279,98.3,7.72,72.95,6.72,31.18,34.19035,21708.37,3.44,162809.9976,9.007650875,7245.446857,17,2780400,-38.416097,-63.616672
Argentina,2008,97.516754,98.6,7.65,76.62,6.85,31.28,33.22876,21780.38,3.42,167229.9957,4.057233103,9020.873323,17,2780400,-38.416097,-63.616672
Argentina,2009,97.750656,98.9,8.59,74.01,7.59,34.7,36.362854,20954.271,3.35,156570.0073,-5.918525076,8225.137583,17,2780400,-38.416097,-63.616672
Argentina,2010,98.82,99.1,8.79,78.54,6.69,34.41,34.353058,21507.703,3.26,167220.0012,10.12539816,10385.96443,17,2780400,-38.416097,-63.616672
Argentina,2011,99.09535,99.3,8.83,84.43,5.89,32.43,31.217922,21894.867,3.18,176639.9994,6.003951693,12848.8642,17,2780400,-38.416097,-63.616672
Argentina,2012,99.22998,99.5,8.61,91.86,5.9,30.93,28.619164,22494.715,3.3,177960.0067,-1.026420454,13082.66433,17,2780400,-38.416097,-63.616672
Argentina,2013,99.342674,99.6,8.91,91.55,5.73,35.03,30.806438,23152.588,3.31,183250,2.405323781,13080.25473,17,2780400,-38.416097,-63.616672
Argentina,2014,100,99.7,9.79,92.18,5.26,34.37,30.066004,22881.006,3.4,179600.0061,-2.512615321,12334.79825,17,2780400,-38.416097,-63.616672
Argentina,2015,99.62539,99.7,9.4,97.18,6.64,33.97,29.472387,23046.873,3.36,185550.0031,2.731159828,13789.06042,17,2780400,-38.416097,-63.616672
Argentina,2016,99.84958,99.8,9.38,100.8,7.82,31.02,27.81438,22726.455,3.41,183160.0037,-2.080327844,12790.24247,17,2780400,-38.416097,-63.616672
Argentina,2017,100,99.8,10.37,99.4,5.77,33.4,28.267298,22503.818,3.32,179320.0073,2.818502978,14613.04182,17,2780400,-38.416097,-63.616672
Argentina,2018,99.98958,99.8,10.52,98.31,6.51,34.97,29.673082,22163.16,3.31,176899.9939,-2.617396463,11795.15939,17,2780400,-38.416097,-63.616672
Argentina,2019,100,99.9,10.74,90.56,7.97,34.63,31.991589,20725.168,3.35,168100.0061,-2.025934237,10056.63794,17,2780400,-38.416097,-63.616672
Argentina,2020,100,99.9,32.63816498,91.58,10.06,37.05,33.967842,19314.066,5.307345059,159866.4627,-9.895268964,8579.017773,17,2780400,-38.416097,-63.616672
Armenia,2000,98.9,79.5,7.16,2.53,1.84,1.25,54.98221,9270.454,6.79,3560,5.900000003,622.7409229,104,29743,40.069099,45.038189
Armenia,2001,100,82.2,5.42,2.62,1.99,0.96,52.962296,9219.866,6.17,3600,9.599999999,694.4234554,104,29743,40.069099,45.038189
Armenia,2002,98,84.9,8.9,1.48,2.09,1.64,71.59309,8911.608,5.1,3119.999886,13.2,783.241215,104,29743,40.069099,45.038189
Armenia,2003,99.19013,87.7,9.81,1.43,1.82,1.96,72.55278,9866.072,4.72,3500,14,930.1254727,104,29743,40.069099,45.038189
Armenia,2004,99.18923,89.9,8.71,1.72,2.2,1.98,70.84745,10294.192,4.52,3759.99999,10.5,1191.921006,104,29743,40.069099,45.038189
Armenia,2005,99.8,91.6,6.49,1.72,2.5,1.75,71.189285,11997.367,4.76,4460.000038,13.9,1643.756889,104,29743,40.069099,45.038189
Armenia,2006,99.18823,92.9,7.65,1.39,2.42,1.81,75.26691,12061.231,4.28,4489.999771,13.2,2158.148074,104,29743,40.069099,45.038189
Armenia,2007,99.193184,94.2,7.02,1.4,2.35,1.83,74.91039,13633.888,4.2,5199.999809,13.7,3139.28071,104,29743,40.069099,45.038189
Armenia,2008,99.205376,95,6.4,1.42,2.27,1.78,74.04023,13250.285,4.13,5690.000057,6.9,4010.861381,104,29743,40.069099,45.038189
Armenia,2009,99.2275,95.7,7.8,1.08,2.29,2,79.88827,11915.396,4.18,4510.000229,-14.1,2994.340471,104,29743,40.069099,45.038189
Armenia,2010,99.8,96.4,9.36,1.35,2.29,2.54,78.15534,13351.512,3.89,4340.000153,2.2,3218.378299,104,29743,40.069099,45.038189
Armenia,2011,99.6058,96.8,8.01,2.25,2.36,2.46,68.17539,14139.787,4.06,4940.000057,4.699999999,3525.807198,104,29743,40.069099,45.038189
Armenia,2012,99.62897,97.2,6.56,3.19,2.12,2.3,58.08147,15057.879,4.15,5719.99979,7.200000001,3681.844691,104,29743,40.069099,45.038189
Armenia,2013,99.42,97.5,6.77,2.98,2.17,2.15,59.178085,14838.981,3.92,5500,3.3,3838.17388,104,29743,40.069099,45.038189
Armenia,2014,99.71,97.6,7.08,3.09,2.27,1.97,57.84447,15185.13,4.11,5480.000019,3.600000001,3986.231624,104,29743,40.069099,45.038189
Armenia,2015,100,97.8,10.74,2.63,2.57,2.18,64.363144,14124.947,4.12,5340.000153,3.199999999,3607.289299,104,29743,40.069099,45.038189
Armenia,2016,99.8,97.9,13.15,2.43,2.19,2.33,65.03597,14289.046,3.93,5070.000172,0.2,3591.828052,104,29743,40.069099,45.038189
Armenia,2017,99.7,98,12.56,2.7,2.41,2.25,63.315216,15302.439,3.86,5369.999886,7.500000002,3914.527854,104,29743,40.069099,45.038189
Armenia,2018,99.9,98,11.13,3.17,1.9,2.31,57.04607,15133.982,3.51,5710.000038,5.2,4220.540321,104,29743,40.069099,45.038189
Armenia,2019,100,98,10.34,2.86,2.03,2.41,60.821915,16179.096,3.53,6170.000076,7.599999999,4604.646324,104,29743,40.069099,45.038189
Armenia,2020,100,98.1,32.63816498,2.98,2.55,1.92,59.999996,17086.047,5.307345059,159866.4627,-7.4,4266.018074,104,29743,40.069099,45.038189
Aruba,2000,91.6604,63.25528736,0.18,0.73,0,0,0,49568.207,14.38,2379.883,7.616588194,20617.75047,590,179,12.52111,-69.96833
Aruba,2001,100,63.25528736,0.18,0.76,0,0,0,50392.613,14.94,2409.219,-2.971256724,20670.36701,590,179,12.52111,-69.96833
Aruba,2002,100,63.25528736,0.18,0.77,0,0,0,51469.32,15.55,2438.555,-3.273646411,20436.88713,590,179,12.52111,-69.96833
Aruba,2003,100,63.25528736,0.18,0.79,0,0,0,56750.387,15.73,2563.233,1.975547262,20833.97636,590,179,12.52111,-69.96833
Aruba,2004,100,63.25528736,0.19,0.81,0,0,0,58649.285,14.76,2618.238,7.911563466,22568.37499,590,179,12.52111,-69.96833
Aruba,2005,100,63.25528736,0.19,0.86,0,0,0,62704.926,14.93,2720.914,1.214349349,23300.73836,590,179,12.52111,-69.96833
Aruba,2006,100,63.25528736,0.19,0.85,0,0,0,61848.48,14.77,2717.247,1.050607528,24046.22638,590,179,12.52111,-69.96833
Aruba,2007,100,63.25528736,0.19,0.88,0,0,0,62959.137,14.94,2823.59,1.800225971,25834.11178,590,179,12.52111,-69.96833
Aruba,2008,100,63.25528736,0.19,0.86,0,0,0,58413.715,14.36,2658.575,-0.090708046,27083.63486,590,179,12.52111,-69.96833
Aruba,2009,100,63.25528736,0.3,0.87,0,0.03,3.3333335,57522.297,15.96,2629.239,-10.51974854,24631.18205,590,179,12.52111,-69.96833
Aruba,2010,93.35629,63.25528736,5.46,0.78,0,0.11,12.35955,53389.605,16.21,2508.228,-3.685029387,23513.5277,590,179,12.52111,-69.96833
Aruba,2011,100,63.25528736,5.66,0.77,0,0.11,12.5,42076.207,15.62,2500.894,3.44605475,24985.01392,590,179,12.52111,-69.96833
Aruba,2012,100,63.25528736,6.86,0.73,0,0.14,16.091953,52292.04,6.83,1349.456,-1.369863014,24712.49326,590,179,12.52111,-69.96833
Aruba,2013,100,63.25528736,6.89,0.74,0,0.15,16.853933,50264.645,3.34,861.745,4.198232323,26441.61994,590,179,12.52111,-69.96833
Aruba,2014,100,63.25528736,6.93,0.73,0,0.16,17.977528,50628.816,3.38,872.746,0.3,26893.01151,590,179,12.52111,-69.96833
Aruba,2015,100,63.25528736,6.73,0.75,0,0.18,19.35484,51778.613,3.28,898.415,5.700000876,28396.90842,590,179,12.52111,-69.96833
Aruba,2016,100,63.25528736,6.99,0.76,0,0.14,15.555556,50017.652,3.16,883.747,2.099999586,28452.17061,590,179,12.52111,-69.96833
Aruba,2017,100,63.25528736,6.7,0.79,0,0.14,15.053763,51509.81,3.13,159866.4627,1.999999104,29350.80502,590,179,12.52111,-69.96833
Aruba,2018,100,63.25528736,8.02,0.76,0,0.15,16.483517,49515.113,3.07,159866.4627,3.441610057,30253.27936,590,179,12.52111,-69.96833
Aruba,2019,100,63.25528736,7.48,0.77,0,0.15,16.304348,51107.844,3.2,159866.4627,3.441610057,13283.77435,590,179,12.52111,-69.96833
Aruba,2020,100,63.25528736,32.63816498,0.73,0,0.15,17.045456,43496.94,5.307345059,159866.4627,3.441610057,13283.77435,590,179,12.52111,-69.96833
Australia,2000,100,100,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.912427733,21697.70848,3,7741220,-25.274398,133.775136
Australia,2001,100,100,8.37,194.33,0,17.4,8.218014,68338.28,5.91,345640,2.038300732,19527.32358,3,7741220,-25.274398,133.775136
Australia,2002,100,100,8.74,197.29,0,17.35,8.0833025,68892.78,5.89,353369.9951,4.014526654,20117.78889,3,7741220,-25.274398,133.775136
Australia,2003,100,100,7.15,195.13,0,18.5,8.659832,69082.79,5.78,352579.9866,3.110325109,23492.40517,3,7741220,-25.274398,133.775136
Australia,2004,100,100,6.68,203.66,0,19.41,8.701304,70486.32,5.65,365809.9976,4.205446887,30513.94174,3,7741220,-25.274398,133.775136
Australia,2005,100,100,6.71,195.95,0,19.75,9.156236,69917.164,5.52,370089.9963,3.160338325,34080.9999,3,7741220,-25.274398,133.775136
Australia,2006,100,100,6.85,198.72,0,21.19,9.63576,71863.76,5.58,375489.9902,2.726893446,36117.48798,3,7741220,-25.274398,133.775136
Australia,2007,100,100,6.95,208.59,0,20.93,9.119031,72304.695,5.52,385750,3.768487516,41001.14298,3,7741220,-25.274398,133.775136
